9999,,,,,,,,,,,,,9999
,T,T,T,T,,,,T,T,T,T,T,
,T,,,,,C,,,,,,T,
,T,,,,,,,,,,,T,
,T,,,,,,,,,,,T,
,T,,,H-45,,,,,H-270,,,T,
,T,,,,,,,,,,,T,
,T,,,,,,,,,,,T,
,T,,,,,,,,,H-135,,T,
,T,,H-180,,,,H-180,,,,,T,
,T,,,,H-45,,,,,,,T,
,T,,,,,,,,,,,T,
,T,,,,,,,,,,,T,
,T,,,,,,,,H-90,,,T,
,T,,H-60,,,,,,,,,T,
,T,,,,,,,,,,,T,
,T,,,,,,,,,,,T,
,T,,,,,,,,,,,T,
,T,,,H-90,,,,,,H-45,,T,
,T,,,,,,,,,,,T,
,T,,,,,,,,,,,T,
,T,,,,H-135,,,T-90,,,,T,
,T,,H-180,,,,,,,,,T,
,T,,,,,,,,,,,T,
,T,T,T,T,T,,,T,T,T,T,T,
9999,,,,,,,,,,,,,9999
