9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999
,,,,,,,,,,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,T,T,,,,,,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,T,T,,,,,,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,T,T,,,,,,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,T,T,,,,,,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,T,T,,,,,,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,T,T,,,,,,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,,,,,,T,,,T,T,,,,,,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,,,,,,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,,,,,,T,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,T,T,T,T,T,T,T,,T,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,,,,,,,,,T,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,T,,,,,,,,,T,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,T,,,,,,,,,T,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,T,,,,,,,,,T,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,T,,,,,,,,,T,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,T,,,,,,,,,T,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,T,,,,,,,,,T,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,T,,,,,,,,,T,,,,T,T,T,T,T,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,T,T,T,T,T,T,T,T,T,,,,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,,,,,,,,,,,,,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,,,,,,,,,,,,,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,,,,,,,,,,,,,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,,,,,,,,,,,,,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,,,,,,,,,,,,,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,,,,,,,,,,,,,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,,,,T,,,,,,,,,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,,,,T,,,,,,,,,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,T,,,,T,,,,,,,,,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,T,T,T,T,T,T,T,T,T,T,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,T,,,,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,T,,,,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,T,,,,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,T,,,,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,T,,,,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,T,,,,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,,,,,,,T,,,,,,,,,,,,,,T,,,,T,,,,,,,,,,,,,,,,
,,,,,,,,,,,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999
