-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,,,
,,T,,,,,,,,,,,,,,,,,T,T,T,T,T,T,T,T,,,
,,T,,,,,,,,,,,,,,,,,T,,,,,,,T,,,
,,T,,,,,,,,,,,,,,,,,T,,,,,,,T,,,
,,T,,,,,,,,,,,,,,,,,T,,,,,,,T,,,
,,T,,,,,,,,,,,,T,,,,,T,,,,,,,T,,,
,,T,,,,,,,,,,,,T,,,,,T,,,,,,,T,,,
,,T,,,,,,,,,,,,T,,,,,T,,,,,,,T,,,
,,T,,,,,,,,,,,,T,,,,,T,,,T,T,,,T,,,
,,T,,,,,,,,,,,,T,,,,,,,,T,T,,,T,,,
,,T,,,Q-90,T,T,T,T,T,T,,,T,,,,,,,,T,T,,,T,,,
,,,,,Q-90,,,,,,,,,T,,,,,,,,T,T,,,T,,,
,,,,,Q-90,,,,,,,,,T,,,,,,,,T,T,,,T,,,
,,1,,,Q-90,,,,,,,,,T,,,,,,,,T,T,,,T,,,
,,,,,Q-90,,,,,,,,,T,,,,,,,,T,T,,,T,,,
,,,,,Q-90,,,,,,,,,T,,,,,,,,T,T,,,T,,,
,,T,,,T,,,,,,,,,T,,,,,,,,T,T,,,T,,,
,,T,,,T,T,T,T,T,T,T,T,T,T,,,,,T,T,T,T,T,,,T,,,
,,T,,,T,,,,,,,,,,,,,,T,,,,T,,,T,,,
,,T,,,T,,,,,,,,,,,,,,T,,,,T,,,T,,,
,,T,,,T,,,,,,,,,,,,,,T,,,,T,,,T,,,
,,T,,,T,,,,,,,,,,,,,,T,,,,T,,,T,,,
,,T,,,T,,,,,,,,,,,,,,T,,,,T,,,T,,,
,,T,,,T,,,,,,,,,,,,,,T,,,,T,,,T,,,
,,T,,,T,,,,T,T,T,T,T,T,T,T,T,T,T,,,,T,,,T,,,
,,T,,,T,,,,T,,,,,,,,,,,,,,T,,,T,,,
,,T,,,T,,,,T,,,,,,,,,,,,,,T,,,T,,,
,,T,,,,,,,T,,,,,,,,,,,,,,T,,,T,,,
,,T,,,,,,,T,,,,,,,,,,,,,,T,,,T,,,
,,T,,,,,,,T,,,,,,,,,,,,,,T,,,T,,,
,,T,,,,,,,T,,,,,,,,,,,,,,T,,,T,,,
,,T,,,,,,,T,,,,,,,,,,,,,,T,,,T,,,
,,T,,,,,,,T,,,,,,,,,,,,,,T,2,,T,,,
,,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,T,T,T,T,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
