-,,,,,,,,,,,,,,,,,,,,,,,,,,-
,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,h-300,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,h,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,H- 270,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,h-10,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,H,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,H,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,h-30,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,H-90,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,z,z,Z,Z,,x,,X,,,,h,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,h-45,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,H,,,,,b,
,b,f-90,,,,h-90,,,,,,,,,,,,,,,,,,F-270,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,,,,,,,,,,,,,,,,,,,,,,,,b,
,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,
-,,,,,,,,,,,,,,,,,,,,,,,,,,-
